Timestamp;HeadsetVelocityX;HeadsetVelocityY;HeadsetVelocityZ;LeftControllerVelocityX;LeftControllerVelocityY;LeftControllerVelocityZ;RightControllerVelocityX;RightControllerVelocityY;RightControllerVelocityZ
-0;-0,02860254;1,187374;0,126147;0;0;0;0;0;0
-0;0,0329425;-0,009230852;-0,006753221;0;0;0;0;0;0
0;-0,01615673;-0,04550058;-0,1328565;0;0;0;0;0;0
1;0,007753108;0,02554553;-0,01617457;0;0;0;0;0;0
2;0,03238712;0,005303572;-0,01470606;0;0;0;0;0;0
3;0,001666981;-0,001776121;0,0009921966;0;0;0;-0,02138496;0,009431371;-0,06656396
4;-0,003123415;-0,0006549867;-0,0006807051;0;0;0;-0,0204173;-0,0004125566;-0,02499157
5;0,001109894;0,01242523;-0,009342287;0,01571389;-0,03225583;0,01021134;0,0196504;-0,004620848;0,01152423
6;-0,0003870529;0,0002662666;-0,0003048427;0,02164732;0,008885575;-0,004419168;0,003000868;-0,004140017;-0,001004942
7;-0,07465933;-0,006347013;0,002034005;0,004802686;-0,00388203;-0,00075095;-0,01337815;-0,005108157;-0,0063258
8;0,01120923;-0,006241324;0,004444052;-0,007539358;-0,02579604;-0,01777486;-0,005540789;0,0004863928;-0,007859764
9;-0,0002324884;-0,005309111;0,003221615;0,0004749098;-0,0006142418;-0,0009235103;-0,0004381305;-0,0010266;-0,0008354547
10;0,1635193;-0,04270712;0,05755302;0,01795875;-0,005867889;-0,003528546;-0,003321303;-0,01105871;0,006473341
11;-0,01052678;-0,0006504021;0,004183905;0,001284223;-0,001412057;-0,002023949;0,01128148;-0,001202388;0,0103615
12;-0,02898603;-0,001779052;0,00365085;-0,008711099;0,002446196;-0,0168176;-0,001922317;-0,001817541;-0,001595159
13;-0,0007475849;0,002987121;-0,003831205;0,009296126;-0,009154495;0,002802572;-0,001896993;-0,001394848;0,001482831
14;0,006157958;0,01595777;7,792725E-05;-0,006452301;0,008216738;0,004380818;-0,003186148;0,001254134;-0,003944034
15;-0,001380908;0,01618722;-0,02059379;-0,0100503;0,006215962;0,0002786466;-0,2092657;0,03140133;0,03402918
16;-0,039522;0,04543949;0,06058375;0,004240533;-0,006282193;0,01105768;0,02237393;-0,03803365;0,1501278
