Timestamp;NormalizedGazeDirectionX;NormalizedGazeDirectionY;NormalizedGazeDirectionZ
0;0;0;1
1;0;0;1
2;0;0;1
3;0,1813166;-0,01571534;0,9832992
4;0,3991094;0,04803032;0,9156445
5;0,429765;-0,08297458;0,8991203
6;0,2538235;-0,1158987;0,9602818
7;0,6714396;-0,1701791;0,7212545
8;0,6536608;-0,1971737;0,7306505
9;0,4285021;-0,1733098;0,8867636
10;0,2720299;-0,1694466;0,9472526
11;-0,01200419;-0,1301985;0,9914153
12;-0,02259214;-0,150095;0,9884134
13;-0,03635424;-0,1423807;0,9891441
14;0,3223578;-0,1799236;0,9293616
15;0,1841921;-0,2868862;0,9400902
16;0,1020302;-0,3406067;0,9346533
17;0,1023872;-0,3565947;0,9286318
18;0,1082682;-0,3481286;0,9311737
19;0,09766019;-0,3384614;0,9358987
20;0,09648348;-0,3122605;0,9450843
21;0,07390706;-0,3093754;0,9480636
22;0,2817138;-0,4117778;0,8666466
23;0,08705569;-0,3662526;0,9264342
24;-0,05704909;-0,326188;0,9435819
25;-0,0625007;-0,2824962;0,9572302
26;-0,01989786;-0,1382266;0,9902008
27;-0,03588483;-0,1019672;0,9941403
28;-0,04326221;-0,01334309;0,9989746
29;-0,02563403;-0,01242147;0,9995942
30;-0,01085008;0,002089708;0,999939
31;-0,02356347;-0,07882822;0,9966097
32;-0,01588971;-0,09348261;0,9954941
33;0,008737822;-0,1524573;0,9882714
34;0,01014433;-0,1588501;0,9872506
35;0,02348587;-0,1543517;0,9877368
36;0,03202317;-0,1526516;0,9877611
37;0,02196774;-0,1830006;0,9828674
38;0,0439911;-0,1862228;0,9815222
39;-0,02697428;-0,2106242;0,9771949
40;0,02754332;-0,2740805;0,9613122
41;0,1931982;-0,2935315;0,9362231
42;0,5211254;-0,325251;0,7890755
43;0,6821486;-0,4220313;0,5971289
44;0,2919734;-0,3857166;0,8751996
45;-0,5567585;-0,1555029;0,8159896
46;-0,4971983;-0,1090117;0,8607615
47;-0,4047913;-0,1542306;0,9013085
48;-0,3079587;-0,232349;0,9225917
49;-0,3777708;-0,2980311;0,8766223
50;-0,1640073;-0,3512017;0,9218237
51;-0,403478;-0,1810191;0,8969045
52;-0,4927861;-0,1537735;0,8564552
53;-0,6517874;-0,3463529;0,6746947
54;-0,7127358;-0,09919302;0,6943834
55;-0,7264381;-0,3164129;0,6100578
56;-0,7234585;-0,4041491;0,5597065
57;-0,7319662;-0,4640288;0,4989016
58;-0,6738501;-0,6315506;0,3834971
59;-0,6343815;-0,5835798;0,5069466
60;-0,5677353;-0,7070305;0,4216449
61;-0,5116494;-0,7502049;0,4188167
62;-0,9496161;-0,3131799;-0,01215231
63;-0,7465093;-0,1498496;0,6482816
64;-0,5905144;-0,1055967;0,8000888
65;-0,5561996;-0,1610002;0,8153042
66;-0,5745812;-0,1650367;0,8016354
67;-0,6484224;-0,1515281;0,7460481
68;-0,7224587;-0,3338535;0,605471
69;-0,2459225;-0,3987908;0,8834524
70;-0,3342232;-0,5186234;0,7869718
71;-0,4630257;-0,5879918;0,663229
72;-0,4366837;-0,5943447;0,6753235
73;-0,462865;-0,6139945;0,6393487
74;-0,4649165;-0,5907727;0,6594242
75;-0,4270585;-0,5793604;0,6942353
77;-0,4183339;-0,5222083;0,7431657
78;-0,4379926;-0,4243657;0,7925127
79;-0,4685983;-0,07300527;0,8803896
80;-0,4482838;-0,1134991;0,8866564
81;-0,4839096;-0,08505256;0,8709751
82;-0,4117826;0,2946974;0,8623158
83;-0,3901425;0,565283;0,726804
84;-0,3975734;0,5459591;0,7374715
