Timestamp;NormalizedGazeDirectionX;NormalizedGazeDirectionY;NormalizedGazeDirectionZ
0;0,9568496;-0,1123453;0,2679876
1;0,8952927;-0,253963;0,3659969
2;0,5308361;-0,3700368;-0,7624211
3;0,9768462;-0,1634652;0,1380246
4;0,199182;-0,2387863;0,950425
5;0,1480918;-0,2451509;0,9581075
6;0,3136406;-0,2500387;0,9160296
7;0,6127854;-0,3169564;0,7239011
8;0,5611147;-0,4360839;0,703549
9;0,36359;-0,4271121;0,8278753
10;0,2588686;-0,6299927;0,732186
11;0,1920845;-0,572394;0,7971629
12;0,03509;-0,4025842;0,9147102
13;-0,04305499;-0,2050418;0,9778058
14;-0,3214143;-0,1334992;0,9374811
15;-0,1649777;-0,1215229;0,9787822
16;0,0631936;-0,06281071;0,9960228
17;0,02379654;-0,06195627;0,9977952
18;-0,07808056;-0,09073944;0,9928091
19;0,3591596;-0,0895514;0,9289699
20;0,2025273;-0,1408821;0,9690897
21;0,02521732;-0,3147233;0,9488484
22;0,4710838;-0,1428829;0,8704393
23;0,723241;-0,2906357;0,626461
24;0,1983077;-0,1643501;0,9662624
25;-0,5728263;-0,07542666;0,8161991
26;-0,9261521;0,007654684;0,3770725
27;-0,8386251;-0,4189252;0,3481519
28;-0,7508821;-0,5953165;0,2859618
29;-0,9043183;-0,4168137;-0,0920587
30;-0,9779053;-0,1969553;0,07006984
31;-0,8664244;-0,1465064;0,4773307
32;-0,8495077;-0,1554717;0,504148
33;-0,9248955;-0,1014216;0,366445
34;-0,919287;-0,1156949;0,3761995
35;-0,9218478;-0,196529;0,3340257
36;-0,9021021;-0,246766;0,3540033
37;-0,8823977;-0,3238026;0,3413593
38;-0,4067501;-0,4613106;0,7885093
39;-0,8049837;-0,5125172;0,298877
40;-0,8045309;-0,5559605;0,2088968
41;-0,6304967;-0,4855011;0,6056094
42;-0,7118799;-0,6145992;0,3398452
43;-0,5212637;-0,4846106;0,7024506
44;0,3372017;-0,2768191;0,8998145
45;0,5708081;-0,1946178;0,7976854
46;0,5431162;-0,208874;0,8132628
47;0,2747791;-0,2762105;0,92098
48;-0,1481627;-0,4740809;0,8679258
49;-0,4496551;-0,4719678;0,758325
50;-0,4772272;-0,3542296;0,8042237
51;-0,3955015;-0,3426322;0,852163
52;-0,7875437;-0,2096474;0,5795022
53;-0,6388376;-0,2758035;0,7182054
54;-0,4268129;-0,4600641;0,7785704
55;-0,4028926;-0,4825568;0,7776995
56;-0,2214075;-0,3598866;0,9063445
57;-0,8716255;-0,1932121;0,4504864
58;-0,8141732;-0,2324792;0,5320483
59;-0,8137954;-0,2081232;0,5426064
60;-0,710465;-0,2389246;0,6619325
61;-0,5136625;-0,2279644;0,8271536
62;-0,4247788;-0,2687739;0,8644788
63;-0,4264158;-0,321845;0,8453315
64;-0,3996491;-0,2822501;0,8721327
65;-0,4517823;-0,3189311;0,833172
66;-0,4494961;-0,3070595;0,8388491
67;-0,4640102;-0,1953686;0,8640172
68;-0,6282044;-0,3634382;0,6879476
69;-0,5564004;-0,3977074;0,7295529
70;-0,04629469;-0,3177159;0,9470551
71;-0,1172567;-0,1723799;0,9780266
72;-0,07722316;-0,1544231;0,9849823
73;0,03036858;-0,252841;0,9670311
74;0,1280868;-0,3096576;0,9421815
75;0,05993653;-0,2800686;0,9581071
76;0,371437;-0,3421406;0,863119
77;0,2998113;-0,1801956;0,9368259
78;0,4088916;-0,07262727;0,9096884
79;0,1658871;-0,1514081;0,9744522
80;0,2751684;-0,1620457;0,947641
81;0,1342846;-0,1609838;0,977779
82;-0,1864228;-0,420876;0,8877556
83;-0,1606411;-0,4670049;0,8695406
84;-0,1433357;-0,4663656;0,872902
85;-0,141181;-0,4690833;0,8717963
86;0,1269588;-0,565152;0,8151593
87;0,02508803;-0,5175796;0,8552672
88;0,3191011;-0,432308;0,8433768
89;0,3148476;-0,4852214;0,8157397
90;0,4093293;-0,5159631;0,7524836
91;0,0624905;-0,173644;0,9828238
92;0,2224376;-0,2321888;0,9468949
93;0,3361453;-0,2180137;0,9162294
94;0,2396531;-0,3352536;0,9111375
95;-0,2467516;-0,424815;0,8710028
96;-0,2672977;-0,7485812;0,6067769
97;0,1755026;-0,3357963;0,9254403
98;0,0765527;-0,3813315;0,9212632
99;0,08434916;-0,2987383;0,9506001
100;0,1600663;-0,2357339;0,9585449
101;0,04869363;-0,2183544;0,9746539
102;0,01646554;-0,2821255;0,9592362
103;-0,3062317;-0,4305606;0,8490228
104;-0,5041932;-0,5335411;0,6790605
105;-0,423874;-0,178293;0,8879991
107;-0,4631062;-0,5311795;0,7094935
108;-0,5230627;-0,7413453;0,420491
109;-0,5380268;-0,7101955;0,454037
110;-0,6117687;-0,4360456;0,6600025
111;-0,7086239;-0,2624033;0,6549785
112;-0,7634919;-0,409583;0,4993215
113;-0,7451289;-0,4706133;0,4725528
114;-0,7710437;-0,448446;0,4520926
115;-0,6805637;-0,2772524;0,6782066
116;-0,1190814;-0,275935;0,9537712
117;-0,0618521;-0,3714301;0,9263984
118;-0,6275759;-0,2421144;0,7399521
119;-0,6190661;-0,2636096;0,7397751
120;-0,4493935;-0,2080614;0,8687669
121;-0,5126574;-0,2622078;0,8175753
122;-0,9566963;-0,2132373;0,1981464
123;-0,9795557;-0,1984386;0,03305599
124;-0,9276738;-0,1222245;0,352821
125;-0,9059198;-0,0962689;0,4123609
126;-0,2578164;-0,09469664;0,9615421
127;0,1239444;-0,4361385;0,8913029
128;0,2367088;-0,6120885;0,7545307
129;0,04004735;-0,6906528;0,7220768
130;-0,1476169;-0,7794718;0,6087963
131;-0,1874294;-0,8784572;0,4395261
132;-0,2363063;-0,9122893;0,334496
133;-0,1974;-0,8995004;0,3897849
134;-0,1756512;-0,9139186;0,3659227
135;-0,2545136;-0,9064945;0,3368837
136;-0,1536728;-0,9332659;0,3246528
137;-0,2520856;-0,8803746;0,401738
138;-0,2117226;-0,9206332;0,3280367
139;-0,2346071;-0,940252;0,2467504
140;-0,1768157;-0,9320694;0,3162006
141;-0,1837818;-0,9304622;0,3169612
142;-0,2047909;-0,9391074;0,2759312
143;-0,1572929;-0,9400218;0,3026848
144;-0,1448019;-0,9455858;0,2913758
145;-0,09002782;-0,9398004;0,3296515
146;-0,1518882;-0,9449449;0,2898433
147;-0,1865284;-0,9424638;0,2774332
148;-0,2129478;-0,9120946;0,350338
149;-0,3038206;-0,7305022;0,6116042
150;-0,2712833;-0,4182637;0,8668684
151;0,5188047;-0,3488825;0,7804631
152;0,04241534;-0,4127159;0,9098717
153;-0,07451402;-0,2361774;0,9688488
154;-0,07608771;-0,3114586;0,9472086
155;-0,1187995;-0,4883133;0,8645443
156;0,2225739;-0,3149741;0,9226333
157;0,6952917;-0,2422325;0,6766779
158;0,213094;-0,2250567;0,9507578
159;-0,5256281;-0,0683461;0,8479646
160;-0,1300265;-0,1450078;0,9808496
161;-0,1933301;-0,3217246;0,9268855
162;-0,2716346;-0,4706526;0,8394646
163;-0,3012115;-0,4863547;0,8202017
