Timestamp;Event
8;MonsterInGaze
9;MonsterInGaze
10;MonsterInGaze
13;ReadingClipboard
14;ReadingClipboard
15;ReadingClipboard
16;ReadingClipboard
17;ReadingClipboard
18;ReadingClipboard
19;ReadingClipboard
20;ReadingClipboard
23;MonsterInGaze
35;ReadingClipboard
36;ReadingClipboard
37;ReadingClipboard
38;ReadingClipboard
39;ReadingClipboard
40;ReadingClipboard
41;ReadingClipboard
42;MonsterInGaze
44;MonsterInGaze
45;MonsterInGaze
46;MonsterInGaze
47;MonsterInGaze
48;MonsterInGaze
49;MonsterInGaze
53;MonsterInGaze
57;MonsterInGaze
58;MonsterInGaze
66;MonsterInGaze
67;MonsterInGaze
88;MonsterInGaze
125;MonsterInGaze
126;MonsterInGaze
127;DeadBattery
128;DeadBattery
129;DeadBattery
130;DeadBattery
131;DeadBattery
132;DeadBattery
133;DeadBattery
134;DeadBattery
135;DeadBattery
136;DeadBattery
137;DeadBattery
138;DeadBattery
139;DeadBattery
140;DeadBattery
141;DeadBattery
142;DeadBattery
143;DeadBattery
