Timestamp;HeadsetPositionX;HeadsetPositionY;HeadsetPositionZ;LeftControllerPositionX;LeftControllerPositionY;LeftControllerPositionZ;RightControllerPositionX;RightControllerPositionY;RightControllerPositionZ
-0;-0,02860254;1,187374;0,126147;0;0;0;0;0;0
-0;0,004339959;1,178143;0,1193938;0;0;0;0;0;0
0;0,03846546;1,136008;0,04164776;0;0;0;0;0;0
1;0,03834784;1,124812;-0,0138514;0;0;0;0;0;0
2;0,05742277;1,104617;0,0047107;0;0;0;0;0;0
3;0,05999572;1,099909;0,007411942;0;0;0;0,1714649;0,9139905;0,3752922
4;0,05943067;1,098128;0,007916234;0;0;0;0,1761618;0,9087844;0,3802179
5;0,05928504;1,10047;0,006398338;0,04246034;0,8919861;0,3868616;0,1860562;0,9120035;0,3694427
6;0,06100947;1,11235;0,0009298832;0,03578121;0,8968918;0,3891019;0,1847132;0,908806;0,3733336
7;0,03420164;1,110554;0,003005153;0,03634783;0,8945827;0,3866456;0,180786;0,9087146;0,3717768
8;-0,02522174;1,120607;-0,009788013;0,03762634;0,8952206;0,3832687;0,1693243;0,903779;0,3687364
9;-0,02285252;1,11961;-0,008262852;0,03635868;0,8957422;0,382855;0,1648773;0,9017415;0,3676973
10;-0,002586729;1,113549;0,001807586;0,03731943;0,8947136;0,383842;0,1646518;0,9007527;0,3688074
11;0,06907964;1,109368;-0,001475769;0,03718483;0,8952484;0,3851169;0,1692027;0,9001201;0,37243
12;0,06443925;1,10795;-0,0001524002;0,03597286;0,8965966;0,3846013;0,1893986;0,9087536;0,3791112
13;0,03725883;1,107917;0,00404262;0,03717933;0,8960292;0,3840091;0,1844074;0,9073663;0,3781963
14;0,03869132;1,109377;0,003697887;0,03779441;0,8959224;0,3828943;0,1781311;0,9016011;0,3792998
15;0,04742987;1,116199;-0,002266542;0,03614118;0,8977587;0,3840636;0,1531821;0,8997387;0,3863092
16;0,01749694;1,136741;-0,009889584;0,02756255;0,9056821;0,3846758;0,1771683;1,069124;0,459641
