Timestamp;HeadsetPositionX;HeadsetPositionY;HeadsetPositionZ;LeftControllerPositionX;LeftControllerPositionY;LeftControllerPositionZ;RightControllerPositionX;RightControllerPositionY;RightControllerPositionZ
0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0
6;0,04574683;1,143904;-0,01708477;0;0;0;0;0;0
7;0,08520299;1,105773;-0,01266306;0,1254577;0,8924667;0,2080077;0;0;0
8;0,02706584;1,124802;0,002148945;0,128869;0,8919369;0,1895546;0,2319713;0,8987298;0,1550967
9;0,03290842;1,132478;-0,002348634;0,1315087;0,8864824;0,1923871;0,2364618;0,9123873;0,1548467
10;0,04248726;1,115613;-0,0008707764;0,1291427;0,8925661;0,1970616;0,2271102;0,906442;0,1590587
11;0,06104454;1,108485;0,000154555;0,08721202;0,9428817;0,2456661;0,2167884;0,9005644;0,1536442
12;0,06151994;1,108359;0,0006042671;0,09273764;0,9383646;0,2320437;0,2192573;0,9017611;0,1534106
13;0,02752474;1,130143;-0,002316324;0,1024287;0,9310344;0,2175819;0,2425126;0,9083813;0,1498389
14;-0,009486506;1,128932;-0,0008930287;0,1055017;0,9258847;0,2111974;0,2291795;0,9063137;0,1457966
15;-0,0002637676;1,122746;0,002554525;0,1058652;0,9257879;0,2102655;0,2020181;0,9016041;0,1390905
16;0,02943915;1,110118;0,006241954;0,1150724;0,9206634;0,1981373;0,1873491;0,8892955;0,1448656
17;0,02592179;1,104008;0,01096343;0,1218897;0,9155518;0,1796065;0,1855082;0,8838439;0,1461725
18;0,02684021;1,102717;0,01102246;0,121412;0,9162672;0,1789375;0,1869638;0,8874451;0,1437232
19;0,06365241;1,129256;-0,004790349;0,101071;0,9303543;0,2220763;0,2153266;0,9150833;0,1476497
20;0,07442005;1,146143;-0,02200228;0,1131981;0,9232129;0,2045159;0,2320849;0,9207133;0,1480599
21;0,07877098;1,161205;-0,04532845;0,1152094;0,9192704;0,2030471;0,245387;0,926356;0,1395763
22;0,07976656;1,151542;-0,0337699;0,1137175;0,9200499;0,191626;0,2428203;0,9217697;0,1419377
23;0,07337987;1,136711;-0,02169087;0,116021;0,9170505;0,1903476;0,2387555;0,9152498;0,1454237
24;0,06881043;1,135258;-0,01562968;0,1099947;0,9254473;0,2029;0,2537439;0,9172716;0,1629658
25;0,07401009;1,139844;-0,01924447;0,1157378;0,9067429;0,2048399;0,2883878;0,988168;0,1796807
