Timestamp;HeadsetVelocityX;HeadsetVelocityY;HeadsetVelocityZ;LeftControllerVelocityX;LeftControllerVelocityY;LeftControllerVelocityZ;RightControllerVelocityX;RightControllerVelocityY;RightControllerVelocityZ
1;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0
3;0,1453671;-0,05667878;0,02254293;0;0;0;0;0;0
4;-0,1364256;-0,005375256;-0,1008175;1,30823E-06;0;-1,046584E-06;0;0;0
5;0,0724006;0,04984084;-0,02608441;4,902164E-06;4,357479E-06;-5,446848E-07;0;0;0
6;0,2924267;-0,08015599;0,007661329;2,121028E-05;9,426789E-06;0;0;0;0
7;0,08785541;-0,06278851;0,02226697;-4,887325E-05;-2,99115E-05;-5,341339E-07;-3,31163E-05;5,127686E-05;5,768647E-05
8;-0,3153814;0,1107006;-0,05577618;0,00989928;0,007716607;0,005748373;4,794219E-05;-4,168886E-06;-0,0001229821
9;0,003672421;-0,001132033;-0,03329079;3,064065E-06;-4,456822E-06;-1,114205E-06;-3,565458E-05;5,348186E-05;5,793869E-05
10;-0,03466829;-0,02141423;0,05657673;-4,35444E-05;4,701727E-05;1,389147E-05;-2,404292E-05;0,0001325032;-2,350863E-05
11;0,009378514;-0,0009547087;0,038674;-0,1986393;0,04196865;0,2456248;-4,54878E-05;0,0001113113;4,281205E-05
12;-0,008742928;0,0004740141;0,01202153;0,1686569;0,328483;-0,1753545;-8,229413E-06;-2,19451E-05;3,730667E-05
13;0,004554837;0,001050377;0,00796803;-0,0279268;-0,06447865;-0,04701826;-1,654558E-05;4,269827E-05;1,921422E-05
14;-0,004252792;0,001387883;-0,004762305;-0,02278903;-0,02912418;-0,03262058;-3,149426E-05;1,708163E-05;7,473214E-05
15;0,004511858;-0,0005327021;0,007264779;0,006089559;-0,0001460635;0,005913423;1,664694E-05;6,014379E-05;-8,377171E-05
16;0,0008889997;0,0006446175;1,895154E-05;0,00698477;0,005339299;0,01729017;2,01443E-05;-0,0001187453;1,908407E-05
17;-0,002136334;-0,002192112;-0,0003528065;-0,2036801;-0,08532773;-0,3081942;-2,220271E-05;5,198684E-05;2,815954E-05
18;0,007181909;-0,002444905;0,00508484;0,00801886;-0,01601627;0,01369469;-1,60849E-06;-2,144654E-05;1,930188E-05
19;0,01157428;0,0141132;-0,009552188;-0,3462004;-0,4141073;0,04166676;-2,360784E-05;1,716934E-05;5,150801E-05
20;0,02231969;-0,006815873;0,06581043;-0,008681676;0,0002756419;0,0290536;-2,819065E-05;4,176393E-05;4,594032E-05
21;-0,03417689;0,006600618;0,00894608;7,743443E-06;0;2,456541E-05;0,1629947;-0,2415014;-0,03668576
22;0,1056896;0,02348682;0,08424514;-1,941195E-05;1,74981E-05;-5,905608E-05;-0,2048983;0,0805;-0,2518698
23;0,00517492;0,001595875;0,01609284;2,732299E-05;4,244347E-05;8,223423E-05;-0,001698402;0,06299885;-0,090238
24;-0,02231223;-0,00493695;0,005499675;1,290144E-05;-7,310815E-05;4,139212E-05;0,2218809;0,0457313;0,1833144
25;-0,03836537;-0,003980177;-0,008491713;0,001596618;0,001446559;0,000658548;-0,003836805;-0,003779028;0,0128029
26;-0,01632048;0,006161164;-0,003700969;-0,0016139;0,0004218771;2,032481E-05;-0,00963245;-0,02452161;-0,02045555
27;-0,000632336;0,0006294453;-6,838041E-05;-2,658131E-06;-4,253009E-06;-7,974391E-06;-0,06070293;0,03292679;-0,1196435
28;-0,006297112;0,006496723;-0,01116644;0,001572419;0,0001244419;0,001984097;-0,005923392;0,01453824;-0,0250804
29;-0,001685872;-0,0005950375;-0,003552573;-1,61695E-06;1,724746E-05;-5,928815E-06;-0,02669045;-0,008477128;0,0001908001
30;-0,08145259;0,002097711;-0,03017326;-0,0009800779;-0,004212616;0,008651445;-0,2011083;-0,2544506;0,1479198
31;0,3437417;0,01248061;0,1571521;-0,004459984;-0,006840585;0,004368755;-0,007659221;-0,02515556;0,037783
32;0,06700749;-0,03722105;-0,01073045;5,222394E-06;-1,253375E-05;1,775614E-05;7,833591E-07;2,088958E-05;9,400309E-06
33;-0,518195;0,05325543;-0,1288913;5,405984E-07;0;2,162393E-06;7,568377E-06;0;6,48718E-06
